ItemType	Code	Equiv1	Equiv2	*CTC	Repair	Body	BodyLoc1	BodyLoc2	Shoots	Quiver	Throwable	Reload	ReEquip	AutoStack	Magic	Rare	Normal	Beltable	MaxSockets1	MaxSocketsLevelThreshold1	MaxSockets2	MaxSocketsLevelThreshold2	MaxSockets3	TreasureClass	Rarity	StaffMods	Class	VarInvGfx	InvGfx1	InvGfx2	InvGfx3	InvGfx4	InvGfx5	InvGfx6	StorePage	*eol
Any				id0 lev0	0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
None	none			id0 lev1	0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Shield	shie	shld		id0 lev2	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	3	40	4	0	3			0							armo	0
Armor	tors	armo		id0 lev3	1	1	tors	tors			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							armo	0
Gold	gold	misc		id0 lev4	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
Bow Quiver	bowq	misl	seco	id0 lev5	0	1	rarm	larm		bow	0	1	0	1			1	0	0	25	0	40	0	0	3			0							misc	0
Crossbow Quiver	xboq	misl	seco	id0 lev6	0	1	rarm	larm		xbow	0	1	0	1			1	0	0	25	0	40	0	0	3			0							misc	0
Player Body Part	play	misc		id0 lev7	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Herb	herb	misc		id0 lev8	0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0							misc	0
Potion	poti	misc		id0 lev9	0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0
Ring	ring	misc	merc	id0 lev10	0	1	rrin	lrin			0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			5	invrin1	invrin2	invrin3	invrin4	invrin5		misc	0
Elixir	elix	misc		id0 lev11	0	0					0	0	0	0			0	1	0	25	0	40	0	0	3			0							misc	0
Amulet	amul	misc	merc	id0 lev12	0	1	neck	neck			0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			3	invamu1	invamu2	invamu3				misc	0
Charm	char	misc		id0 lev13	0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			3	invch1	invch4	invch7				misc	0
Not Used				id0 lev14	0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Boots	boot	armo	merc	id0 lev15	1	1	feet	feet			0	0	0	0		1	0	0	1	25	2	40	2	0	3			0							armo	0
Gloves	glov	armo	merc	id0 lev16	1	1	glov	glov			0	0	0	0		1	0	0	1	25	2	40	2	0	3			0							armo	0
Not Used				id0 lev17	0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Book	book	misc		id0 lev18	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Belt	belt	armo	merc	id0 lev19	1	1	belt	belt			0	0	0	0		1	0	0	1	25	2	40	2	0	3			0							armo	0
Gem	gem	sock		id0 lev20	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Torch	torc	misc		id0 lev21	0	1					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Scroll	scro	misc		id0 lev22	0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0
Not Used				id0 lev23	0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Scepter	scep	rod	blbl	id0 lev24	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	5	40	6	0	1	pal		0							weap	0
Wand	wand	rod		id0 lev25	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	2	40	2	0	1	nec		0							weap	0
Staff	staf	rod	blbl	id0 lev26	1	1	rarm	larm			0	0	0	0		1	0	0	5	25	6	40	6	0	1	sor		0							weap	0
Bow	bow	miss		id0 lev27	0	1	rarm	larm	bowq		0	0	0	0		1	0	0	3	25	4	40	6	1	3			0							weap	0
Axe	axe	mele	blbl	id0 lev28	1	1	rarm	larm			0	0	0	0		1	0	0	4	25	5	40	6	0	3			0							weap	0
Club	club	blun	blbl	id0 lev29	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0
Sword	swor	blde	blbl	id0 lev30	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0
Hammer	hamm	blun	blbl	id0 lev31	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0
Knife	knif	blde	blbl	id0 lev32	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	3	40	3	0	3			0							weap	0
Spear	spea	sppl		id0 lev33	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0
Polearm	pole	sppl		id0 lev34	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0
Crossbow	xbow	miss		id0 lev35	1	1	rarm	larm	xboq		0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0
Mace	mace	blun	blbl	id0 lev36	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0
Helm	merc			id0 lev37	1	1	head	head			0	0	0	0		1	0	0	2	25	2	40	3	0	3			0							armo	0
Missile Potion	tpot	thro		id0 lev38	0	1	rarm	larm			1	1	1	1			1	0	0	25	0	40	0	0	3			0							misc	0
Quest	ques			id0 lev39	0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Body Part	body	misc		id0 lev40	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Key	key	misc		id0 lev41	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0
Throwing Knife	tkni	comb	knif	id0 lev42	1	1	rarm	larm			1	1	1	1		1	0	0	2	25	2	40	2	0	3			0							misc	0
Throwing Axe	taxe	comb	axe	id0 lev43	1	1	rarm	larm			1	1	1	1		1	0	0	2	25	3	40	5	0	3			0							misc	0
Javelin	jave	comb	spea	id0 lev44	1	1	rarm	larm			1	1	1	1		1	0	0	2	25	3	40	3	0	3			0							misc	0
Weapon	weap			id0 lev45	0	0					0	0	0	0		1	0	0	0	25	0	40	0	1	3			0								0
Melee Weapon	mele	weap		id0 lev46	0	0					0	0	0	0		1	0	0	0	25	0	40	0	1	3			0								0
Missile Weapon	miss	weap		id0 lev47	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Thrown Weapon	thro	weap		id0 lev48	0	0					1	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Combo Weapon	comb	mele	thro	id0 lev49	0	0					1	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Any Armor	armo			id0 lev50	0	0					0	0	0	0		1	0	0	0	25	0	40	0	1	3			0								0
Any Shield	shld	armo	seco	id0 lev51	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Miscellaneous	misc			id0 lev52	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Socket Filler	sock	misc		id0 lev53	0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Second Hand	seco			id0 lev54	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Staves And Rods	rod	blun		id0 lev55	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Missile	misl	misc		id0 lev56	0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Blunt	blun	mele	blbl	id0 lev57	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Expansion																																				0
Jewel	jewl	sock		id0 lev58	0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			6	invjw1	invjw2	invjw3	invjw4	invjw5	invjw6	misc	0
Class Specific	clas			id0 lev59	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Amazon Item	amaz	clas		id0 lev60	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		ama	0								0
Barbarian Item	barb	clas		id0 lev61	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		bar	0								0
Necromancer Item	necr	clas		id0 lev62	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		nec	0								0
Paladin Item	pala	clas		id0 lev63	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		pal	0								0
Sorceress Item	sorc	clas		id1 lev0	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		sor	0								0
Assassin Item	assn	clas		id1 lev1	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	2		ass	0								0
Druid Item	drui	clas		id1 lev2	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		dru	0								0
Hand to Hand	h2h	mele	assn	id1 lev3	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	3	40	3	0	2		ass	0							weap	0
Orb	orb	weap	sorc	id1 lev4	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	3	40	3	0	1	sor	sor	0							weap	0
Voodoo Heads	head	shld	necr	id1 lev5	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	3	40	3	0	1	nec	nec	0							armo	0
Auric Shields	ashd	shld	pala	id1 lev6	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	4	0	1		pal	0							armo	0
Primal Helm	phlm	helm	barb	id1 lev7	1	1	head	head			0	0	0	0		1	0	0	2	25	3	40	3	0	1	bar	bar	0							armo	0
Pelt	pelt	helm	drui	id1 lev8	1	1	head	head			0	0	0	0		1	0	0	2	25	3	40	3	0	1	dru	dru	0							armo	0
Cloak	cloa	tors	assn	id1 lev9	1	1	tors	tors			0	0	0	0		1	0	0	0	25	0	40	0	0	1	ass	ass	0							armo	0
Rune	rune	sock		id1 lev10	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Circlet	circ	helm		id1 lev11	1	1	head	head			0	0	0	0		1	0	0	1	25	2	40	3	0	3			0							armo	0
Healing Potion	hpot	poti		id1 lev12	0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0
Mana Potion	mpot	poti		id1 lev13	0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0
Rejuv Potion	rpot	hpot	mpot	id1 lev14	0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0
Stamina Potion	spot	poti		id1 lev15	0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0
Antidote Potion	apot	poti		id1 lev16	0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0
Thawing Potion	wpot	poti		id1 lev17	0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0
Small Charm	scha	char		id1 lev18	0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			3	invch1	invch4	invch7				misc	0
Medium Charm	mcha	char		id1 lev19	0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			3	invch2	invch5	invch8				misc	0
Large Charm	lcha	char		id1 lev20	0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			3	invch3	invch6	invch9				misc	0
Amazon Bow	abow	bow	amaz	id1 lev21	0	1	rarm	larm	bowq		0	0	0	0		1	0	0	3	25	4	40	5	1	1		ama	0							weap	0
Amazon Spear	aspe	spea	amaz	id1 lev22	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	1		ama	0							weap	0
Amazon Javelin	ajav	jave	amaz	id1 lev23	1	1	rarm	larm			1	1	1	1		1	0	0	0	25	0	40	0	0	1		ama	0							misc	0
Hand to Hand 2	h2h2	h2h		id1 lev24	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	3	40	3	0	2	ass	ass	0							weap	0
Magic Bow Quiv	mboq	bowq		id1 lev25	0	1	rarm	larm		bow	0	1	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0
Magic Xbow Quiv	mxbq	xboq		id1 lev26	0	1	rarm	larm		xbow	0	1	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0
Chipped Gem	gem0	gem		id1 lev27	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Flawed Gem	gem1	gem		id1 lev28	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Standard Gem	gem2	gem		id1 lev29	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Flawless Gem	gem3	gem		id1 lev30	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Perfect Gem	gem4	gem		id1 lev31	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Amethyst	gema	gem		id1 lev32	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Diamond	gemd	gem		id1 lev33	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Emerald	geme	gem		id1 lev34	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Ruby	gemr	gem		id1 lev35	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Sapphire	gems	gem		id1 lev36	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Topaz	gemt	gem		id1 lev37	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Skull	gemz	gem		id1 lev38	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Swords and Knives	blde	mele		id1 lev39	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Spears and Polearms	sppl	mele		id1 lev40	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Merc Equip	helm	armo	merc	id1 lev41	1	1	head	head			0	0	0	0		1	0	0	2	25	2	40	3	0	3			0							armo	0
Currency	curr			id1 lev42	0	0					0	0	0	0	0	0	1	0	0	0	0	0	0	0	3			0							misc	0
Map	map			id1 lev43	0	0					0	0	0	0	0	0	1	0	0	0	0	0	0	0	3			0							misc	0
Two Hand Melee	thm			id1 lev44	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Runic	rkey			id1 lev45	0	0					0	0	0	0	0	0	1	0	0	0	0	0	0	0	3			0							misc	0
Blunt and Blade	blbl			id1 lev46	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
a000	a000			id1 lev47	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a001	a001			id1 lev48	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a002	a002			id1 lev49	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a003	a003			id1 lev50	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a004	a004			id1 lev51	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a005	a005			id1 lev52	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a006	a006			id1 lev53	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a007	a007			id1 lev54	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a008	a008			id1 lev55	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a009	a009			id1 lev56	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a010	a010			id1 lev57	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a011	a011			id1 lev58	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a012	a012			id1 lev59	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a013	a013			id1 lev60	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a014	a014			id1 lev61	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a015	a015			id1 lev62	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a016	a016			id1 lev63	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a017	a017			id2 lev0	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a018	a018			id2 lev1	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a019	a019			id2 lev2	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a020	a020			id2 lev3	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a021	a021			id2 lev4	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a022	a022			id2 lev5	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a023	a023			id2 lev6	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a024	a024			id2 lev7	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a025	a025			id2 lev8	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a026	a026			id2 lev9	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a027	a027			id2 lev10	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a028	a028			id2 lev11	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a029	a029			id2 lev12	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a030	a030			id2 lev13	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a031	a031			id2 lev14	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a032	a032			id2 lev15	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a033	a033			id2 lev16	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a034	a034			id2 lev17	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a035	a035			id2 lev18	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a036	a036			id2 lev19	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a037	a037			id2 lev20	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a038	a038			id2 lev21	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a039	a039			id2 lev22	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a040	a040			id2 lev23	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a041	a041			id2 lev24	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a042	a042			id2 lev25	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a043	a043			id2 lev26	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a044	a044			id2 lev27	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a045	a045			id2 lev28	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a046	a046			id2 lev29	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a047	a047			id2 lev30	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a048	a048			id2 lev31	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a049	a049			id2 lev32	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a050	a050			id2 lev33	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a051	a051			id2 lev34	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a052	a052			id2 lev35	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a053	a053			id2 lev36	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a054	a054			id2 lev37	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a055	a055			id2 lev38	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a056	a056			id2 lev39	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a057	a057			id2 lev40	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a058	a058			id2 lev41	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a059	a059			id2 lev42	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a060	a060			id2 lev43	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a061	a061			id2 lev44	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a062	a062			id2 lev45	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a063	a063			id2 lev46	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a064	a064			id2 lev47	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a065	a065			id2 lev48	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a066	a066			id2 lev49	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a067	a067			id2 lev50	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a068	a068			id2 lev51	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
